GasSR,Humidity,Pressure,Temperature,PM1,PM10,PM2_5,IAQ,AQI
254.05,43.56,1004.73,28.63,129,164,159,75,SATISFACTORY
252.26,43.72,1004.75,28.64,113,145,137,75,SATISFACTORY
251.09,44.12,1004.79,28.64,107,141,128,75,SATISFACTORY
252.53,44.12,1004.81,28.63,109,147,134,75,SATISFACTORY
255.8,43.87,1004.85,28.63,91,121,109,75,SATISFACTORY
254.01,44.2,1004.85,28.64,85,108,101,70,SATISFACTORY
255.58,44.16,1004.89,28.67,81,94,93,75,SATISFACTORY
254.33,44.27,1004.89,28.7,80,97,95,70,SATISFACTORY
250.94,44.69,1004.92,28.73,75,92,86,70,SATISFACTORY
250.59,44.71,1004.91,28.73,77,95,90,70,SATISFACTORY
247.46,44.89,1004.92,28.77,75,91,87,75,SATISFACTORY
243.57,44.67,1004.92,28.78,79,95,91,80,SATISFACTORY
244.93,45.19,1004.92,28.78,68,87,81,75,SATISFACTORY
239.88,45.63,1004.96,28.78,71,87,83,80,SATISFACTORY
238.28,45.79,1005.02,28.75,77,103,93,80,SATISFACTORY
239.82,45.2,1005.02,28.73,73,89,87,80,SATISFACTORY
245.4,44.33,1005.06,28.71,71,92,86,80,SATISFACTORY
245.62,43.99,1005.04,28.68,74,95,88,85,SATISFACTORY
244.97,43.81,1005.06,28.7,74,98,90,85,SATISFACTORY
243.7,43.65,1005.06,28.72,79,97,93,85,SATISFACTORY
239.07,44.02,1005.06,28.73,80,103,97,90,SATISFACTORY
234.12,44.15,1005.1,28.74,79,105,97,95,SATISFACTORY
233.33,43.83,1005.1,28.73,91,116,111,100,SATISFACTORY
235.24,43.37,1005.14,28.71,88,115,106,95,SATISFACTORY
238.6,42.71,1005.2,28.7,98,125,119,95,SATISFACTORY
239.64,42.04,1005.18,28.71,111,144,135,100,SATISFACTORY
239.51,41.97,1005.22,28.73,115,157,143,100,SATISFACTORY
238.38,42.2,1005.26,28.74,92,114,112,100,SATISFACTORY
239.95,41.89,1005.34,28.77,127,162,153,100,SATISFACTORY
238.81,42.31,1005.38,28.78,91,118,110,100,SATISFACTORY
236.99,42.78,1005.42,28.8,81,106,101,100,SATISFACTORY
238.48,42.79,1005.46,28.83,81,108,100,95,SATISFACTORY
239.51,42.86,1005.46,28.84,77,103,95,95,SATISFACTORY
240.24,42.69,1005.5,28.84,82,111,100,95,SATISFACTORY
241.65,42.77,1005.5,28.86,85,113,105,95,SATISFACTORY
242.62,42.91,1005.52,28.88,81,108,103,90,SATISFACTORY
243.29,43.17,1005.52,28.88,81,116,103,90,SATISFACTORY
244.69,43.16,1005.56,28.88,81,112,103,90,SATISFACTORY
247.54,43.47,1005.54,28.91,78,103,97,80,SATISFACTORY
249.97,43.27,1005.56,28.92,76,105,93,85,SATISFACTORY
257.35,42.95,1005.58,28.94,68,98,85,80,SATISFACTORY
260.74,42.95,1005.58,28.95,61,89,79,80,SATISFACTORY
264.55,42.88,1005.62,28.97,51,73,60,80,SATISFACTORY
266.57,42.86,1005.62,29,45,75,60,80,SATISFACTORY
270.67,43.3,1005.64,29.02,46,73,59,80,SATISFACTORY
275.86,42.85,1005.68,29.02,42,70,54,80,SATISFACTORY
280.02,42.62,1005.68,29.04,36,67,50,80,SATISFACTORY
283.35,42.56,1005.7,29.07,39,63,51,80,SATISFACTORY
285.06,43.19,1005.7,29.09,35,67,50,80,SATISFACTORY
288.63,43.63,1005.72,29.09,33,64,47,75,SATISFACTORY
291.03,43.67,1005.72,29.09,31,54,44,75,SATISFACTORY
293.47,44.1,1005.74,29.13,31,59,45,75,SATISFACTORY
293.25,44.48,1005.72,29.18,29,57,42,70,SATISFACTORY
295.21,44.84,1005.68,29.21,27,52,39,70,SATISFACTORY
297.94,44.78,1005.72,29.3,26,41,35,70,SATISFACTORY
294.35,44.88,1005.74,29.39,24,46,34,75,SATISFACTORY
288.88,45.49,1005.78,29.53,23,36,32,70,SATISFACTORY
279.38,46.44,1005.74,29.61,24,39,33,65,SATISFACTORY
268.96,47.85,1005.8,29.71,22,35,31,55,SATISFACTORY
265.26,48.4,1005.8,29.81,25,42,35,50,GOOD
265.74,49.01,1005.8,29.87,23,45,32,50,GOOD
270.9,48.47,1005.8,29.93,24,42,34,50,GOOD
279.05,47.71,1005.81,29.91,26,48,36,55,SATISFACTORY
281.52,47.31,1005.83,29.91,25,43,35,60,SATISFACTORY
281.89,47.7,1005.91,29.89,25,49,34,55,SATISFACTORY
282.36,47.24,1005.93,29.87,23,34,32,60,SATISFACTORY
283.08,47.21,1005.95,29.82,26,46,36,60,SATISFACTORY
282.7,47.4,1005.99,29.78,25,47,36,60,SATISFACTORY
283.58,47.51,1006.01,29.73,25,51,37,55,SATISFACTORY
285.2,47.47,1006.03,29.68,25,45,35,60,SATISFACTORY
287.66,47.26,1006.07,29.62,26,48,37,60,SATISFACTORY
290.22,47.16,1006.03,29.57,26,50,36,60,SATISFACTORY
292.63,46.85,1006.03,29.52,26,48,38,60,SATISFACTORY
293.23,46.8,1006.03,29.46,24,47,35,60,SATISFACTORY
296.4,46.88,1006.05,29.39,27,49,39,60,SATISFACTORY
300.96,46.83,1006.07,29.32,27,52,39,60,SATISFACTORY
309.02,46.34,1006.09,29.25,27,50,40,60,SATISFACTORY
314.44,45.79,1006.07,29.18,27,42,37,65,SATISFACTORY
318.22,45.61,1006.11,29.09,28,52,40,65,SATISFACTORY
322.6,45.26,1006.11,29.02,27,46,38,65,SATISFACTORY
328.65,44.99,1006.13,28.94,27,52,39,70,SATISFACTORY
334.66,44.59,1006.17,28.86,26,51,37,70,SATISFACTORY
342.46,44.15,1006.15,28.75,29,52,40,75,SATISFACTORY
348.05,43.75,1006.19,28.67,28,55,41,75,SATISFACTORY
352.96,43.35,1006.19,28.58,30,56,42,75,SATISFACTORY
358.28,43.2,1006.17,28.52,28,54,40,80,SATISFACTORY
363.92,42.85,1006.19,28.44,27,49,38,80,SATISFACTORY
370.46,42.47,1006.19,28.38,31,53,43,85,SATISFACTORY
376.77,42.12,1006.23,28.31,31,60,44,85,SATISFACTORY
380.82,41.88,1006.27,28.26,29,56,42,85,SATISFACTORY
